Frequency (Hz)	Level (dB)
1437.011719	-82.816216
1438.476562	-86.560364
1439.941406	-84.243011
1441.406250	-85.370979
1442.871094	-85.811768
1444.335938	-83.864319
1445.800781	-83.817825
1447.265625	-85.011017
1448.730469	-84.941231
1450.195312	-81.050293
1451.660156	-88.838776
1453.125000	-87.471817
1454.589844	-83.656456
1456.054688	-82.518356
1457.519531	-84.113388
1458.984375	-82.127869
1460.449219	-89.180702
1461.914062	-86.497772
1463.378906	-82.656952
1464.843750	-86.954964
1466.308594	-84.333641
1467.773438	-83.918976
1469.238281	-87.304642
1470.703125	-90.569260
1472.167969	-82.164993
1473.632812	-83.093628
1475.097656	-85.879616
1476.562500	-90.041145
1478.027344	-85.260689
1479.492188	-90.069313
1480.957031	-82.338104
1482.421875	-85.692070
1483.886719	-85.913773
1485.351562	-85.430458
1486.816406	-87.902603
1488.281250	-85.272125
1489.746094	-85.339630
1491.210938	-85.678375
1492.675781	-94.572128
1494.140625	-83.450966
1495.605469	-93.033005
1497.070312	-86.320961
1498.535156	-83.342606
1500.000000	-84.847618
1501.464844	-95.010231
1502.929688	-87.515648
1504.394531	-88.406380
1505.859375	-86.068016
1507.324219	-86.018524
1508.789062	-87.808861
1510.253906	-89.258286
1511.718750	-89.610405
1513.183594	-86.517258
1514.648438	-85.945183
1516.113281	-89.195969
1517.578125	-86.542847
1519.042969	-84.630081
1520.507812	-85.661514
1521.972656	-82.566750
1523.437500	-84.628952
1524.902344	-82.483604
1526.367188	-91.860413
1527.832031	-85.245148
1529.296875	-87.637283
1530.761719	-84.930862
1532.226562	-89.783646
1533.691406	-83.142647
1535.156250	-89.222824
1536.621094	-90.620415
1538.085938	-86.755646
1539.550781	-87.348488
1541.015625	-86.845634
1542.480469	-88.604759
1543.945312	-88.010963
1545.410156	-85.136246
1546.875000	-92.720245
1548.339844	-94.347214
1549.804688	-83.879135
1551.269531	-87.000923
1552.734375	-88.006393
1554.199219	-86.952507
1555.664062	-87.754852
1557.128906	-83.185814
1558.593750	-92.521774
1560.058594	-88.498741
1561.523438	-84.938751
1562.988281	-84.622917
1564.453125	-87.411873
1565.917969	-85.662666
1567.382812	-87.470993
1568.847656	-87.750053
1570.312500	-87.176788
1571.777344	-85.192535
1573.242188	-89.280388
1574.707031	-88.357529
1576.171875	-84.554947
1577.636719	-91.362076
1579.101562	-84.128067
1580.566406	-85.528397
1582.031250	-86.328323
1583.496094	-91.567360
1584.960938	-90.203224
1586.425781	-86.126091
1587.890625	-88.590889
1589.355469	-84.517929
1590.820312	-88.606209
1592.285156	-90.362030
1593.750000	-88.316185
1595.214844	-85.707916
1596.679688	-83.845612
1598.144531	-97.656693
1599.609375	-83.788147
1601.074219	-88.410652
1602.539062	-88.890289
1604.003906	-83.514099
1605.468750	-87.927368
1606.933594	-85.755379
1608.398438	-88.508072
1609.863281	-84.558014
1611.328125	-96.828201
1612.792969	-85.956184
1614.257812	-86.075737
1615.722656	-85.261902
1617.187500	-85.079865
1618.652344	-86.527390
1620.117188	-86.379128
1621.582031	-85.551224
1623.046875	-89.898735
1624.511719	-86.586433
1625.976562	-88.179535
1627.441406	-84.050781
1628.906250	-88.363640
1630.371094	-85.521149
1631.835938	-85.019737
1633.300781	-86.629814
1634.765625	-86.979485
1636.230469	-88.569748
1637.695312	-85.839066
1639.160156	-86.055489
1640.625000	-87.454956
1642.089844	-87.388786
1643.554688	-87.111435
1645.019531	-88.449318
1646.484375	-88.785095
1647.949219	-85.243477
1649.414062	-86.748665
1650.878906	-85.095573
1652.343750	-87.915314
1653.808594	-90.045845
1655.273438	-87.124565
1656.738281	-84.334435
1658.203125	-85.756996
1659.667969	-85.789024
1661.132812	-84.766594
1662.597656	-89.181496
1664.062500	-84.654991
1665.527344	-88.365509
1666.992188	-86.340019
1668.457031	-91.036903
1669.921875	-89.217857
1671.386719	-88.588928
1672.851562	-86.485603
1674.316406	-86.267441
1675.781250	-89.438446
1677.246094	-85.042511
1678.710938	-88.047058
1680.175781	-85.989746
1681.640625	-88.117279
1683.105469	-86.596550
1684.570312	-88.539932
1686.035156	-87.788338
1687.500000	-90.461342
1688.964844	-85.377159
1690.429688	-90.682304
1691.894531	-84.478394
1693.359375	-88.839088
1694.824219	-81.768013
1696.289062	-86.658806
1697.753906	-84.169800
1699.218750	-86.540474
1700.683594	-83.620972
1702.148438	-86.973961
1703.613281	-84.531830
1705.078125	-86.555138
1706.542969	-82.917229
1708.007812	-88.918015
1709.472656	-94.134758
1710.937500	-93.156746
1712.402344	-110.385727
1713.867188	-89.145599
1715.332031	-91.630127
1716.796875	-91.454002
1718.261719	-82.978180
1719.726562	-80.401001
1721.191406	-75.605278
1722.656250	-73.794983
1724.121094	-74.198647
1725.585938	-75.933228
1727.050781	-79.228416
1728.515625	-80.577560
1729.980469	-88.206200
1731.445312	-78.630180
1732.910156	-83.801338
1734.375000	-87.099869
1735.839844	-86.192688
1737.304688	-78.038261
1738.769531	-77.295609
1740.234375	-81.748505
1741.699219	-86.159637
1743.164062	-77.074890
1744.628906	-75.994583
1746.093750	-78.301704
1747.558594	-78.697197
1749.023438	-77.858162
1750.488281	-71.759163
1751.953125	-73.244095
1753.417969	-78.232010
1754.882812	-68.897087
1756.347656	-71.559738
1757.812500	-74.691406
1759.277344	-66.472595
1760.742188	-75.815704
1762.207031	-66.807205
1763.671875	-67.778992
1765.136719	-69.240982
1766.601562	-67.229431
1768.066406	-78.798767
1769.531250	-63.950504
1770.996094	-62.958828
1772.460938	-65.436661
1773.925781	-68.768341
1775.390625	-68.359718
1776.855469	-70.166466
1778.320312	-68.257904
1779.785156	-69.424538
1781.250000	-72.288216
1782.714844	-71.584709
